310310
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,INCENTIVO PARA AÇÕES ESTRATÉGICAS,01/12 em 2023,800427,10/01/2023,001,02483X,000024449X,"7.103,00","0,00","7.103,00",,25000003150202309,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,INCENTIVO FINANCEIRO DA APS - DESEMPENHO,01/12 em 2023,800492,10/01/2023,001,02483X,000024449X,"2.453,58","0,00","2.453,58",,25000003153202334,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ASSISTÊNCIA FARMACÊUTICA,PROMOÇÃO DA ASSISTÊNCIA FARMACÊUTICA E INSUMOS ESTRATÉGICOS NA ATENÇÃO PRIMÁRIA EM SAÚDE,01/12 em 2023,800454,10/01/2023,001,02483X,000024449X,"1.026,37","0,00","1.026,37",,25000003154202389,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,INCENTIVO FINANCEIRO DA APS - CAPITAÇÃO PONDERADA,01/12 em 2023,800362,10/01/2023,001,02483X,000024449X,"18.213,72","0,00","18.213,72",,25000003147202387,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,APOIO À MANUTENÇÃO DOS POLOS DE ACADEMIA DA SAÚDE,DEZ de 2022,800612,13/01/2023,001,02483X,000024449X,"3.000,00","0,00","3.000,00",,25000177450202234,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),VIGILÂNCIA EM SAÚDE,TRANSFERÊNCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE ÀS ENDEMIAS,01/12 em 2023,801299,27/01/2023,001,02483X,000024449X,"130,20","0,00","130,20",,25000010707202350,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),VIGILÂNCIA EM SAÚDE,TRANSFERÊNCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES DE COMBATE ÀS ENDEMIAS,01/12 em 2023,801272,27/01/2023,001,02483X,000024449X,"2.473,80","0,00","2.473,80",,25000010706202313,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,INCENTIVO FINANCEIRO DA APS - DESEMPENHO,02/12 em 2023,802156,10/02/2023,001,02483X,000024449X,"1.977,89","0,00","1.977,89",,25000019898202315,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,INCENTIVO FINANCEIRO DA APS - CAPITAÇÃO PONDERADA,02/12 em 2023,802128,10/02/2023,001,02483X,000024449X,"18.229,03","0,00","18.229,03",,25000019892202348,MUNICIPAL,
Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO PRIMÁRIA,INCENTIVO PARA AÇÕES ESTRATÉGICAS,02/12 em 2023,802266,10/02/2023,001,02483X,000024449X,"7.103,00","0,00","7.103,00",,25000019893202392,MUNICIPAL,
